Encoded,mRd,vRd,mRd_plus,mRd_minus,vRd_plus,vRd_minus,C,Length,product_name,Thickness,Type,M-type,V-type,REI-type,CV-type,X-type,Height,Type Number
XT-K-M8-VV1-REI120-CV35-X120-H240-6.2,"-74,7","87,8",0.0,74.7,87.8,0.0,C25/30,L1000,XT-K-M8-VV1-REI120-CV35-X120-H240-L1000-6.2,XT,K,M8,VV1,REI120,CV35,X120,H240,6.2
XT-K-M8-VV1-REI120-CV35-X120-H240-6.2,"-74,7","-50,1",0.0,74.7,0.0,50.1,C25/30,L1000,XT-K-M8-VV1-REI120-CV35-X120-H240-L1000-6.2,XT,K,M8,VV1,REI120,CV35,X120,H240,6.2
XT-K-M9-V1-REI120-CV35-X120-H240-6.2,"-92,2","112,8",0.0,92.2,112.8,0.0,C25/30,L1000,XT-K-M9-V1-REI120-CV35-X120-H240-L1000-6.2,XT,K,M9,V1,REI120,CV35,X120,H240,6.2
XT-K-M9-V2-REI120-CV35-X120-H240-6.2,"-92,2","125,4",0.0,92.2,125.4,0.0,C25/30,L1000,XT-K-M9-V2-REI120-CV35-X120-H240-L1000-6.2,XT,K,M9,V2,REI120,CV35,X120,H240,6.2
XT-K-M10-V1-REI120-CV35-X120-H240-6.2,"-92,2","112,8",0.0,92.2,112.8,0.0,C25/30,L1000,XT-K-M10-V1-REI120-CV35-X120-H240-L1000-6.2,XT,K,M10,V1,REI120,CV35,X120,H240,6.2
XT-K-M10-V2-REI120-CV35-X120-H240-6.2,"-92,2","125,4",0.0,92.2,125.4,0.0,C25/30,L1000,XT-K-M10-V2-REI120-CV35-X120-H240-L1000-6.2,XT,K,M10,V2,REI120,CV35,X120,H240,6.2
XT-K-M10.1-V1-REI120-CV35-X120-H240-6.2,"-99,7","112,8",0.0,99.7,112.8,0.0,C30/37,L1000,XT-K-M10.1-V1-REI120-CV35-X120-H240-L1000-6.2,XT,K,M10.1,V1,REI120,CV35,X120,H240,6.2
XT-K-M10.1-V2-REI120-CV35-X120-H240-6.2,"-99,7","125,4",0.0,99.7,125.4,0.0,C30/37,L1000,XT-K-M10.1-V2-REI120-CV35-X120-H240-L1000-6.2,XT,K,M10.1,V2,REI120,CV35,X120,H240,6.2
XT-K-M7-V1-REI120-CV35-X120-H250-6.2,"-72,8","75,2",0.0,72.8,75.2,0.0,C25/30,L1000,XT-K-M7-V1-REI120-CV35-X120-H250-L1000-6.2,XT,K,M7,V1,REI120,CV35,X120,H250,6.2
XT-K-M7-V2-REI120-CV35-X120-H250-6.2,"-72,8","100,3",0.0,72.8,100.3,0.0,C25/30,L1000,XT-K-M7-V2-REI120-CV35-X120-H250-L1000-6.2,XT,K,M7,V2,REI120,CV35,X120,H250,6.2
XT-K-M7-VV1-REI120-CV35-X120-H250-6.2,"-72,8","75,2",0.0,72.8,75.2,0.0,C25/30,L1000,XT-K-M7-VV1-REI120-CV35-X120-H250-L1000-6.2,XT,K,M7,VV1,REI120,CV35,X120,H250,6.2
XT-K-M7-VV1-REI120-CV35-X120-H250-6.2,"-72,8","-50,1",0.0,72.8,0.0,50.1,C25/30,L1000,XT-K-M7-VV1-REI120-CV35-X120-H250-L1000-6.2,XT,K,M7,VV1,REI120,CV35,X120,H250,6.2
XT-K-M8-V1-REI120-CV35-X120-H250-6.2,"-79,4","87,8",0.0,79.4,87.8,0.0,C25/30,L1000,XT-K-M8-V1-REI120-CV35-X120-H250-L1000-6.2,XT,K,M8,V1,REI120,CV35,X120,H250,6.2
XT-K-M8-V2-REI120-CV35-X120-H250-6.2,"-79,4","112,8",0.0,79.4,112.8,0.0,C25/30,L1000,XT-K-M8-V2-REI120-CV35-X120-H250-L1000-6.2,XT,K,M8,V2,REI120,CV35,X120,H250,6.2
XT-K-M8-VV1-REI120-CV35-X120-H250-6.2,"-79,4","87,8",0.0,79.4,87.8,0.0,C25/30,L1000,XT-K-M8-VV1-REI120-CV35-X120-H250-L1000-6.2,XT,K,M8,VV1,REI120,CV35,X120,H250,6.2
XT-K-M8-VV1-REI120-CV35-X120-H250-6.2,"-79,4","-50,1",0.0,79.4,0.0,50.1,C25/30,L1000,XT-K-M8-VV1-REI120-CV35-X120-H250-L1000-6.2,XT,K,M8,VV1,REI120,CV35,X120,H250,6.2
XT-K-M9-V1-REI120-CV35-X120-H250-6.2,"-97,9","112,8",0.0,97.9,112.8,0.0,C25/30,L1000,XT-K-M9-V1-REI120-CV35-X120-H250-L1000-6.2,XT,K,M9,V1,REI120,CV35,X120,H250,6.2
XT-K-M9-V2-REI120-CV35-X120-H250-6.2,"-97,9","125,4",0.0,97.9,125.4,0.0,C25/30,L1000,XT-K-M9-V2-REI120-CV35-X120-H250-L1000-6.2,XT,K,M9,V2,REI120,CV35,X120,H250,6.2
XT-K-M10-V1-REI120-CV35-X120-H250-6.2,"-97,9","112,8",0.0,97.9,112.8,0.0,C25/30,L1000,XT-K-M10-V1-REI120-CV35-X120-H250-L1000-6.2,XT,K,M10,V1,REI120,CV35,X120,H250,6.2
XT-K-M10-V2-REI120-CV35-X120-H250-6.2,"-97,9","125,4",0.0,97.9,125.4,0.0,C25/30,L1000,XT-K-M10-V2-REI120-CV35-X120-H250-L1000-6.2,XT,K,M10,V2,REI120,CV35,X120,H250,6.2
XT-K-M10.1-V1-REI120-CV35-X120-H250-6.2,"-105,9","112,8",0.0,105.9,112.8,0.0,C30/37,L1000,XT-K-M10.1-V1-REI120-CV35-X120-H250-L1000-6.2,XT,K,M10.1,V1,REI120,CV35,X120,H250,6.2
XT-K-M10.1-V2-REI120-CV35-X120-H250-6.2,"-105,9","125,4",0.0,105.9,125.4,0.0,C30/37,L1000,XT-K-M10.1-V2-REI120-CV35-X120-H250-L1000-6.2,XT,K,M10.1,V2,REI120,CV35,X120,H250,6.2
XT-K-M11-V1-REI120-CV35-X120-H180-6.1,"-28,0","58,8",0.0,28.0,58.8,0.0,C25/30,L500,XT-K-M11-V1-REI120-CV35-X120-H180-L500-6.1,XT,K,M11,V1,REI120,CV35,X120,H180,6.1
XT-K-M11-V2-REI120-CV35-X120-H180-6.1,"-28,0","84,6",0.0,28.0,84.6,0.0,C25/30,L500,XT-K-M11-V2-REI120-CV35-X120-H180-L500-6.1,XT,K,M11,V2,REI120,CV35,X120,H180,6.1
XT-K-M11-V3-REI120-CV35-X120-H180-6.1,"-28,0","115,2",0.0,28.0,115.2,0.0,C25/30,L500,XT-K-M11-V3-REI120-CV35-X120-H180-L500-6.1,XT,K,M11,V3,REI120,CV35,X120,H180,6.1
XT-K-M11.2-V1-REI120-CV35-X120-H180-6.1,"-56,0","117,6",0.0,56.0,117.6,0.0,C25/30,L500,XT-K-M11.2-V1-REI120-CV35-X120-H180-L500-6.1,XT,K,M11.2,V1,REI120,CV35,X120,H180,6.1
XT-K-M11.2-V2-REI120-CV35-X120-H180-6.1,"-56,0","169,2",0.0,56.0,169.2,0.0,C25/30,L500,XT-K-M11.2-V2-REI120-CV35-X120-H180-L500-6.1,XT,K,M11.2,V2,REI120,CV35,X120,H180,6.1
XT-K-M11.2-V3-REI120-CV35-X120-H180-6.1,"-56,0","230,4",0.0,56.0,230.4,0.0,C25/30,L500,XT-K-M11.2-V3-REI120-CV35-X120-H180-L500-6.1,XT,K,M11.2,V3,REI120,CV35,X120,H180,6.1
XT-K-M12-V1-REI120-CV35-X120-H180-6.1,"-40,4","58,8",0.0,40.4,58.8,0.0,C25/30,L500,XT-K-M12-V1-REI120-CV35-X120-H180-L500-6.1,XT,K,M12,V1,REI120,CV35,X120,H180,6.1
XT-K-M12-V2-REI120-CV35-X120-H180-6.1,"-40,4","84,6",0.0,40.4,84.6,0.0,C25/30,L500,XT-K-M12-V2-REI120-CV35-X120-H180-L500-6.1,XT,K,M12,V2,REI120,CV35,X120,H180,6.1
XT-K-M12-V3-REI120-CV35-X120-H180-6.1,"-40,4","115,2",0.0,40.4,115.2,0.0,C25/30,L500,XT-K-M12-V3-REI120-CV35-X120-H180-L500-6.1,XT,K,M12,V3,REI120,CV35,X120,H180,6.1
XT-K-M12.2-V1-REI120-CV35-X120-H180-6.1,"-80,8","117,6",0.0,80.8,117.6,0.0,C25/30,L500,XT-K-M12.2-V1-REI120-CV35-X120-H180-L500-6.1,XT,K,M12.2,V1,REI120,CV35,X120,H180,6.1
XT-K-M12.2-V2-REI120-CV35-X120-H180-6.1,"-80,8","169,2",0.0,80.8,169.2,0.0,C25/30,L500,XT-K-M12.2-V2-REI120-CV35-X120-H180-L500-6.1,XT,K,M12.2,V2,REI120,CV35,X120,H180,6.1
XT-K-M12.2-V3-REI120-CV35-X120-H180-6.1,"-80,8","230,4",0.0,80.8,230.4,0.0,C25/30,L500,XT-K-M12.2-V3-REI120-CV35-X120-H180-L500-6.1,XT,K,M12.2,V3,REI120,CV35,X120,H180,6.1
XT-K-M13-V1-REI120-CV35-X120-H180-6.1,"-47,2","58,8",0.0,47.2,58.8,0.0,C25/30,L500,XT-K-M13-V1-REI120-CV35-X120-H180-L500-6.1,XT,K,M13,V1,REI120,CV35,X120,H180,6.1
XT-K-M13-V2-REI120-CV35-X120-H180-6.1,"-47,2","84,6",0.0,47.2,84.6,0.0,C25/30,L500,XT-K-M13-V2-REI120-CV35-X120-H180-L500-6.1,XT,K,M13,V2,REI120,CV35,X120,H180,6.1
