Encoded,MrD,vRd,TableName
T-D-MM2-VV2-REI120-CV30-X80-H170-6.0,12.2,46.4,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV2.2-REI120-CV30-X80-H170-6.0,24.4,92.8,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1-REI120-CV50-X80-H210-6.0,13.2,26.1,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1.2-REI120-CV50-X80-H210-6.0,26.4,52.2,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV2-REI120-CV50-X80-H210-6.0,12.2,46.4,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV2.2-REI120-CV50-X80-H210-6.0,24.4,92.8,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1-REI120-CV35-X80-H180-6.0,13.9,26.1,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1.2-REI120-CV35-X80-H180-6.0,27.8,52.2,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV2-REI120-CV35-X80-H180-6.0,12.8,46.4,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV2.2-REI120-CV35-X80-H180-6.0,25.6,92.8,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV3-REI120-CV35-X80-H180-6.0,11.7,68.0,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV3.2-REI120-CV35-X80-H180-6.0,23.4,136.0,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1-REI120-CV30-X80-H180-6.0,14.5,26.1,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1.2-REI120-CV30-X80-H180-6.0,29.0,52.2,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV2-REI120-CV30-X80-H180-6.0,13.4,46.4,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV2.2-REI120-CV30-X80-H180-6.0,26.8,92.8,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV3-REI120-CV30-X80-H180-6.0,12.3,68.0,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV3.2-REI120-CV30-X80-H180-6.0,24.6,136.0,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1-REI120-CV50-X80-H220-6.0,14.5,26.1,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV1.2-REI120-CV50-X80-H220-6.0,29.0,52.2,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV2-REI120-CV50-X80-H220-6.0,13.4,46.4,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV2.2-REI120-CV50-X80-H220-6.0,26.8,92.8,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV3-REI120-CV50-X80-H220-6.0,12.3,68.0,Schock_Isokorb_T_Typ_D_6.0_2
T-D-MM2-VV3.2-REI120-CV50-X80-H220-6.0,24.6,136.0,Schock_Isokorb_T_Typ_D_6.0_2
